═══════════════════════════════════════════════════════════════════════════════
PALAVRAS NÃO TRADUZIDAS - APOCALIPSE
Bíblia Belém An.C 2025
═══════════════════════════════════════════════════════════════════════════════

Data: 2026-01-17
Total de palavras únicas: 1981
Traduzidas: 243
Mantidas no original: 2
Não traduzidas: 1736

═══════════════════════════════════════════════════════════════════════════════
PALAVRAS SEM TRADUÇÃO (ordenadas por frequência)
═══════════════════════════════════════════════════════════════════════════════

Freq.  Palavra Grega
─────  ─────────────────────────────────────
   4x  χεῖρα
   4x  χειρὸς
   4x  τόπον
   4x  τρίτος
   4x  τιμὴν
   4x  τεῖχος
   4x  στολὰς
   4x  σημεῖα
   4x  πόδες
   4x  πρόσωπα
   4x  προφητῶν
   4x  ποδῶν
   4x  πληγὰς
   4x  πηγὰς
   4x  πένθος
   4x  πάντων
   4x  ξύλου
   4x  ναὸς
   4x  μῆνας
   4x  μυστήριον
   4x  μιᾷ
   4x  μετώπων
   4x  μετενόησαν
   4x  μετανόησον
   4x  μήτε
   4x  μέλλει
   4x  λόγοι
   4x  λοιποὶ
   4x  λευκοῖς
   4x  λεγόντων
   4x  λίμνην
   4x  κατοικοῦντες
   4x  καπνοῦ
   4x  θρόνους
   4x  εἶπέν
   4x  εἰκόνι
   4x  εἰκόνα
   4x  δούλους
   4x  βύσσινον
   4x  βρονταί
   4x  βλασφημίας
   4x  βλέπειν
   4x  βιβλίῳ
   4x  αὐτόν
   4x  Σατανᾶς
   4x  Σατανᾶ
   4x  Πνεύματι
   3x  ῥομφαίᾳ
   3x  ᾄδουσιν
   3x  Ὧδε
   3x  ὤφθη
   3x  ὑπάγει
   3x  ὄφις
   3x  ὁράσει
   3x  ὀπίσω
   3x  Ἱερουσαλὴμ
   3x  Ἰωάνης
   3x  Ἰσραήλ
   3x  ἱμάτια
   3x  ἦσαν
   3x  ἥξω
   3x  ἥξουσιν
   3x  ἥμισυ
   3x  ἡμέραις
   3x  ἠνεῳγμένον
   3x  ἕκτος
   3x  ἕκαστος
   3x  ἕβδομος
   3x  ἔφυγεν
   3x  ἔρημον
   3x  ἔπεσα
   3x  ἔξωθεν
   3x  ἔμπροσθεν
   3x  ἔμποροι
   3x  ἔλαβον
   3x  ἓν
   3x  ἑστῶτας
   3x  ἑξήκοντα
   3x  ἑνὸς
   3x  ἑκάστῳ
   3x  ἑαυτοὺς
   3x  ἐφ’
   3x  ἐσφραγισμένοι
   3x  ἐλάλησαν
   3x  ἐβλασφήμησαν
   3x  ἐβλήθησαν
   3x  ἄνθρωποι
